Epoch     Train Loss     Test Loss      Test Accuracy  
1         1.0349         0.6426         0.75           
2         0.5677         0.5606         0.79           
3         0.4699         0.5081         0.80           
4         0.4139         0.4209         0.84           
5         0.3815         0.3852         0.86           
6         0.3545         0.4103         0.85           
7         0.3376         0.3700         0.86           
8         0.3216         0.3500         0.87           
9         0.3082         0.3448         0.88           
10        0.2968         0.3470         0.88           
11        0.2854         0.3280         0.88           
12        0.2767         0.3291         0.88           
13        0.2664         0.3443         0.87           
14        0.2582         0.3196         0.89           
15        0.2491         0.3355         0.88           
16        0.2413         0.3240         0.88           
17        0.2357         0.3286         0.88           
18        0.2296         0.3531         0.87           
19        0.2246         0.3070         0.89           
20        0.2186         0.3277         0.88           
21        0.2122         0.2840         0.90           
22        0.2069         0.3420         0.88           
23        0.2017         0.3147         0.89           
24        0.1981         0.3138         0.89           
25        0.1943         0.2715         0.91           
26        0.1860         0.2940         0.90           
27        0.1823         0.2634         0.91           
28        0.1799         0.2910         0.90           
29        0.1739         0.2952         0.90           
30        0.1703         0.2720         0.90           
31        0.1672         0.2621         0.91           
32        0.1611         0.3371         0.88           
33        0.1596         0.2837         0.90           
34        0.1563         0.2945         0.90           
35        0.1523         0.3614         0.87           
36        0.1480         0.3556         0.88           
37        0.1453         0.3349         0.89           
38        0.1392         0.2832         0.91           
39        0.1368         0.3095         0.90           
40        0.1308         0.2897         0.90           
41        0.1314         0.2949         0.90           
42        0.1264         0.2904         0.90           
43        0.1225         0.2840         0.91           
44        0.1186         0.4328         0.88           
45        0.1155         0.3073         0.91           
46        0.1124         0.3002         0.91           
47        0.1116         0.2764         0.91           
48        0.1081         0.2956         0.90           
49        0.1022         0.2820         0.91           
50        0.1018         0.2978         0.91           
