Epoch     Train Loss     Test Loss      Test Accuracy  
1         1.6196         0.7334         0.71           
2         0.6128         0.5293         0.81           
3         0.4647         0.5093         0.82           
4         0.4031         0.4151         0.85           
5         0.3609         0.4252         0.85           
6         0.3338         0.3984         0.85           
7         0.3148         0.3526         0.87           
8         0.2998         0.3837         0.86           
9         0.2856         0.3896         0.85           
10        0.2734         0.3372         0.87           
11        0.2590         0.3492         0.87           
12        0.2519         0.3110         0.88           
13        0.2414         0.3055         0.89           
14        0.2352         0.3321         0.87           
15        0.2268         0.2963         0.89           
16        0.2179         0.3553         0.87           
17        0.2106         0.3339         0.88           
18        0.2045         0.2858         0.90           
19        0.1991         0.2799         0.90           
20        0.1916         0.3217         0.89           
21        0.1842         0.3902         0.87           
22        0.1800         0.3107         0.90           
23        0.1741         0.2662         0.91           
24        0.1688         0.2740         0.91           
25        0.1627         0.3235         0.89           
26        0.1569         0.2629         0.91           
27        0.1523         0.2914         0.90           
28        0.1465         0.3772         0.88           
29        0.1405         0.3394         0.90           
30        0.1345         0.2767         0.91           
31        0.1300         0.2960         0.91           
32        0.1233         0.3051         0.90           
33        0.1222         0.2956         0.90           
34        0.1105         0.4736         0.87           
35        0.1099         0.2997         0.90           
36        0.1044         0.3346         0.90           
37        0.1017         0.3503         0.89           
38        0.0943         0.3143         0.91           
39        0.0913         0.3148         0.91           
40        0.0850         0.3233         0.91           
41        0.0794         0.3845         0.91           
42        0.0778         0.3575         0.91           
43        0.0751         0.3963         0.90           
44        0.0724         0.3696         0.91           
45        0.0634         0.4507         0.88           
46        0.0628         0.6468         0.86           
47        0.0639         0.4289         0.90           
48        0.0543         0.4158         0.91           
49        0.0548         0.4129         0.91           
50        0.0500         0.4212         0.91           
