Epoch     Train Loss     Test Loss      Test Accuracy  
1         1.4568         0.8316         0.67           
2         0.7864         0.6136         0.76           
3         0.6361         0.5078         0.81           
4         0.5510         0.4539         0.83           
5         0.5026         0.4748         0.81           
6         0.4704         0.4056         0.86           
7         0.4511         0.3758         0.86           
8         0.4272         0.4078         0.86           
9         0.4117         0.3555         0.87           
10        0.4004         0.3738         0.86           
11        0.3904         0.3564         0.87           
12        0.3769         0.3349         0.88           
13        0.3633         0.3211         0.88           
14        0.3582         0.3224         0.88           
15        0.3496         0.3095         0.89           
16        0.3432         0.3095         0.89           
17        0.3350         0.2955         0.89           
18        0.3308         0.3058         0.89           
19        0.3235         0.2829         0.89           
20        0.3176         0.2861         0.90           
21        0.3104         0.2875         0.89           
22        0.3055         0.2764         0.90           
23        0.3028         0.2733         0.90           
24        0.3003         0.2677         0.90           
25        0.2897         0.2678         0.90           
26        0.2875         0.2579         0.91           
27        0.2842         0.2607         0.90           
28        0.2800         0.2555         0.91           
29        0.2759         0.2523         0.91           
30        0.2722         0.2554         0.91           
31        0.2715         0.2514         0.91           
32        0.2672         0.2503         0.91           
33        0.2647         0.2536         0.91           
34        0.2587         0.2465         0.91           
35        0.2563         0.2437         0.91           
36        0.2556         0.2404         0.91           
37        0.2513         0.2363         0.92           
38        0.2501         0.2439         0.91           
39        0.2498         0.2397         0.91           
40        0.2446         0.2328         0.92           
41        0.2433         0.2293         0.92           
42        0.2381         0.2350         0.92           
43        0.2418         0.2462         0.91           
44        0.2382         0.2268         0.92           
45        0.2356         0.2236         0.92           
46        0.2332         0.2589         0.90           
47        0.2321         0.2344         0.91           
48        0.2293         0.2168         0.92           
49        0.2255         0.2312         0.92           
50        0.2263         0.2196         0.92           
