Epoch     Train Loss     Test Loss      Test Accuracy  
1         0.7873         0.6322         0.79           
2         0.5708         0.5965         0.79           
3         0.5259         0.5376         0.82           
4         0.5001         0.5223         0.82           
5         0.4852         0.5339         0.81           
6         0.4742         0.5072         0.83           
7         0.4652         0.5128         0.82           
8         0.4595         0.4944         0.83           
9         0.4519         0.4894         0.83           
10        0.4475         0.4778         0.84           
11        0.4434         0.4985         0.83           
12        0.4396         0.4773         0.83           
13        0.4360         0.4720         0.84           
14        0.4338         0.4696         0.83           
15        0.4298         0.4661         0.84           
16        0.4276         0.4675         0.84           
17        0.4254         0.4681         0.84           
18        0.4239         0.4689         0.84           
19        0.4213         0.4574         0.84           
20        0.4208         0.4565         0.84           
21        0.4183         0.4664         0.84           
22        0.4170         0.4822         0.83           
23        0.4155         0.4558         0.84           
24        0.4148         0.4658         0.83           
25        0.4129         0.4753         0.83           
26        0.4121         0.4528         0.84           
27        0.4105         0.4520         0.84           
28        0.4097         0.4591         0.84           
29        0.4091         0.4496         0.84           
30        0.4078         0.4598         0.84           
31        0.4063         0.4489         0.84           
32        0.4062         0.4480         0.84           
33        0.4052         0.4587         0.84           
34        0.4042         0.4483         0.84           
35        0.4036         0.4471         0.84           
36        0.4026         0.4485         0.84           
37        0.4023         0.4447         0.84           
38        0.4020         0.4509         0.84           
39        0.4002         0.4450         0.84           
40        0.4000         0.4539         0.84           
41        0.4002         0.4449         0.84           
42        0.3984         0.4557         0.84           
43        0.3975         0.4528         0.84           
44        0.3981         0.4513         0.84           
45        0.3969         0.4505         0.84           
46        0.3967         0.4406         0.84           
47        0.3961         0.4641         0.83           
48        0.3949         0.4644         0.83           
49        0.3951         0.4410         0.84           
50        0.3936         0.4588         0.84           
