Epoch     Train Loss     Test Loss      Test Accuracy  
1         0.6923         0.4218         0.84           
2         0.4492         0.4235         0.84           
3         0.3963         0.3890         0.85           
4         0.3612         0.2988         0.89           
5         0.3376         0.3456         0.88           
6         0.3233         0.2938         0.89           
7         0.3141         0.2885         0.90           
8         0.2978         0.2661         0.90           
9         0.2907         0.2850         0.89           
10        0.2820         0.2411         0.91           
11        0.2741         0.2571         0.90           
12        0.2667         0.2723         0.90           
13        0.2607         0.2327         0.92           
14        0.2537         0.3315         0.87           
15        0.2511         0.2371         0.91           
16        0.2462         0.2310         0.91           
17        0.2434         0.2309         0.92           
18        0.2402         0.2215         0.92           
19        0.2360         0.2327         0.91           
20        0.2333         0.2222         0.92           
21        0.2323         0.2214         0.92           
22        0.2262         0.2362         0.91           
23        0.2244         0.2349         0.91           
24        0.2207         0.2267         0.91           
25        0.2205         0.2410         0.91           
26        0.2175         0.2109         0.92           
27        0.2152         0.2097         0.93           
28        0.2104         0.1970         0.93           
29        0.2112         0.2318         0.92           
30        0.2082         0.2100         0.93           
31        0.2083         0.1996         0.93           
32        0.2050         0.2042         0.93           
33        0.2035         0.2097         0.93           
34        0.1998         0.2169         0.92           
35        0.1991         0.2049         0.93           
36        0.1986         0.2176         0.92           
37        0.1961         0.2170         0.92           
38        0.1928         0.1956         0.93           
39        0.1933         0.1986         0.93           
40        0.1926         0.2321         0.92           
41        0.1922         0.2061         0.92           
42        0.1897         0.2039         0.93           
43        0.1908         0.2040         0.93           
44        0.1886         0.1958         0.93           
45        0.1866         0.2099         0.92           
46        0.1846         0.2126         0.92           
47        0.1848         0.1971         0.93           
48        0.1831         0.1988         0.93           
49        0.1818         0.2135         0.92           
50        0.1797         0.2083         0.93           
